time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-15 09:30:00-05:00,MLTrader,f7c960ebbb4e49f7aa8caf91f9cbddeb,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,f7c960ebbb4e49f7aa8caf91f9cbddeb,AAPL,buy,market,fill,1,gtc,0.0,1,stock,197.52999877929688,10.0,0.0
