time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-15 09:30:00-05:00,MLTrader,c40a5300e0134861a86a174f443ec1e9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,c40a5300e0134861a86a174f443ec1e9,SPY,buy,market,fill,1,gtc,0.0,1,stock,469.489990234375,106.0,0.0
