time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-15 09:30:00-05:00,MLTrader,d0c375ae8fe746c097533e79b1d223c2,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,d0c375ae8fe746c097533e79b1d223c2,AAPL,buy,market,fill,1,gtc,0.0,1,stock,197.52999877929688,10.0,0.0
